# total_examples\t5565
# intent_examples\t5561
# non_intent_examples\t4
count\tkind\tname
314\tintent\task_locations
106\tintent\tbuksu_official_anthem
100\tintent\tcat_requirement_education_program
93\tintent\tlibrary_borrow_books
92\tintent\tcor_validation_location
92\tintent\tcor_validation_steps
92\tintent\tmixed_enrollment_process
92\tintent\tstudent_id_process
92\tintent\ttake_exam
82\tintent\tonline_enrollment_steps
81\tintent\tdouble_enrollment_policy
62\tintent\tlibrary_id_card_payment
62\tintent\tlibrary_id_card_requirements
60\tintent\tlibrary_available_books_info
56\tintent\tlibrary_id_card_location
40\tintent\tintramurals_week_classes
40\tintent\tlatin_honors_average_gpa
35\tintent\tnlu_fallback
32\tintent\tabout_ict
31\tintent\tdeans_list
30\tintent\tabout_intramurals
30\tintent\tabout_nstp
30\tintent\tabout_pe
30\tintent\tacademic_probation
30\tintent\tacademic_support
30\tintent\taccess_grades
30\tintent\taccess_sias
30\tintent\tadd_drop_subject
30\tintent\tall_comlab_locations
30\tintent\tattendance_requirement
30\tintent\tcampus_safety
30\tintent\tcampus_transfer
30\tintent\tclass_concerns
30\tintent\tcourse_shifting
30\tintent\tcourse_shifting_later_years
30\tintent\tearly_document_request
30\tintent\teating_in_classroom
30\tintent\tend_of_semester
30\tintent\tfailed_subject_policy
30\tintent\tfreshmen_intramurals
30\tintent\tgraduation_attendance
30\tintent\tgraduation_rehearsal_attendance
30\tintent\tinactive_group_member
30\tintent\tinternship_requirement
30\tintent\tlicensure_examination
30\tintent\tlost_on_campus
30\tintent\tminor_subject
30\tintent\tmock_board_exam
30\tintent\ton_the_job_training
30\tintent\tpeer_mentoring
30\tintent\tphone_use_in_class
30\tintent\trequest_cor
30\tintent\tsenior_academic_overload
30\tintent\tstudent_fees
30\tintent\tstudent_organizations
30\tintent\tstudent_stress_support
30\tintent\tsubject_overload
30\tintent\tsubmit_assignments_online
30\tintent\tthesis_defense
30\tintent\tthesis_defense_failure
30\tintent\tthesis_defense_panelists
30\tintent\tthesis_topic_selection
30\tintent\ttracer_study
30\tintent\ttransferee_enrollment
28\tintent\task_more
24\tintent\tget_inc_form
22\tintent\treset_portal_password_buksu
20\tintent\taccess_buksu_library_resources
20\tintent\taccounting_office_location
20\tintent\tadmission_application_deadline
20\tintent\tals_graduate_buksu_cat_application
20\tintent\tapplication_always_denied
20\tintent\tapplication_pending
20\tintent\tapply_cat_using_mobile_phone
20\tintent\tbuksu_academic_colleges
20\tintent\tbuksu_admission_contact
20\tintent\tbuksu_admission_facebook_page
20\tintent\tbuksu_alumni_association
20\tintent\tbuksu_bsa_program
20\tintent\tbuksu_bsit_program
20\tintent\tbuksu_cat_calculator_policy
20\tintent\tbuksu_cat_definition
20\tintent\tbuksu_clinic_services
20\tintent\tbuksu_core_values
20\tintent\tbuksu_courses_offered_list
20\tintent\tbuksu_dormitory_information
20\tintent\tbuksu_establishment_year
20\tintent\tbuksu_grading_system
20\tintent\tbuksu_graduation_honors
20\tintent\tbuksu_gymnasium_facility
20\tintent\tbuksu_history_background
20\tintent\tbuksu_hymn
20\tintent\tbuksu_library_hours
20\tintent\tbuksu_mandates
20\tintent\tbuksu_medical_dental_services
20\tintent\tbuksu_mission
20\tintent\tbuksu_mpa_program
20\tintent\tbuksu_president
20\tintent\tbuksu_satellite_campuses
20\tintent\tbuksu_seal_significance
20\tintent\tbuksu_vision
20\tintent\tcampus_dormitories
20\tintent\tcampus_dress_code_policy
20\tintent\tcancel_tabuk_assistance
20\tintent\tcannot_upload_2x2_picture
20\tintent\tcat_requirement_nursing_program
20\tintent\tchange_portal_password_buksu
20\tintent\tchange_program_after_application
20\tintent\tcheck_portal_enrollment_status
20\tintent\tcollege_shirt_allowed
20\tintent\tcontact_registrar_for_tor
20\tintent\tcontinuing_students_enrollment_process
20\tintent\tdasig_spirit_animal_buksu
20\tintent\tdormitory_pros_cons
20\tintent\tenrollment_general_process
20\tintent\tevening_classes_working_students
20\tintent\tfda_meaning
20\tintent\tfda_solution
20\tintent\tfree_tuition_undergraduate_buksu
20\tintent\tgood_moral_certificate_request
20\tintent\tgpat_admission_requirements
20\tintent\tgraduation_application_process
20\tintent\tguidance_counseling_services_buksu
20\tintent\thealth_services_unit_location_hours
20\tintent\tinc_grade_consequences
20\tintent\tinc_grade_solution
20\tintent\tinstitutional_email_info
20\tintent\tjoin_student_organizations_process
20\tintent\tlatin_honors_graduation_requirements
20\tintent\tlaw_admission_requirements
20\tintent\tlaw_author_buksu_university_conversion
20\tintent\tlibrary_book_borrowing_rules
20\tintent\tlibrary_late_return_penalty
20\tintent\tlibrary_return_books
20\tintent\tlibrary_thesis_availability
20\tintent\tlost_and_found_buksu
20\tintent\tlost_student_id_replacement_process
20\tintent\tmasters_degree_admission_requirements
20\tintent\tmissed_buksu_cat_schedule
20\tintent\tnew_student_orientation_purpose
20\tintent\tno_noon_break_policy
20\tintent\toss_no_noon_break_policy
20\tintent\toverload_units_policy
20\tintent\tportal_account_locked_issue
20\tintent\tportal_login_problem
20\tintent\tprerequisite_subjects_purpose
20\tintent\tprevious_name_buksu_college
20\tintent\tprogram_shifting_policy
20\tintent\tpwd_student_assistance_services
20\tintent\trequest_good_moral_certificate_oss
